sha256_ret,0000011
FUN_ucode_0000021,0000021
FUN_ucode_0000051,0000051
compute_ucode_sha_start,0000059
caseD_61,0000061
patch_handle_get_value,00000a1
FUN_ucode_00000b1,00000b1
FUN_ucode_00000c1,00000c1
FUN_ucode_00000e9,00000e9
FUN_ucode_0000129,0000129
FUN_ucode_0000139,0000139
FUN_ucode_0000164,0000164
FUN_ucode_000024a,000024a
FUN_ucode_0000252,0000252
FUN_ucode_000025a,000025a
FUN_ucode_000026a,000026a
FUN_ucode_00002b2,00002b2
FUN_ucode_00002ba,00002ba
FUN_ucode_00002c2,00002c2
FUN_ucode_00002ca,00002ca
FUN_ucode_00002d2,00002d2
sidt_xlat,00002d8
FUN_ucode_00002da,00002da
FUN_ucode_00002ea,00002ea
FUN_ucode_00002f2,00002f2
FUN_ucode_00002fa,00002fa
FUN_ucode_0000312,0000312
vmresume_xlat,0000320
vmlaunch_xlat,0000328
vmwrite_r64_mem_xlat,0000330
rdrand_xlat,0000428
rdseed_xlat,0000430
FUN_ucode_000043c,000043c
FUN_ucode_0000444,0000444
FUN_ucode_0000474,0000474
FUN_ucode_0000484,0000484
FUN_ucode_00004a4,00004a4
set_carry_uend,00004ae
FUN_ucode_00004dc,00004dc
FUN_ucode_00004e4,00004e4
FUN_ucode_00004fc,00004fc
FUN_ucode_000050c,000050c
FUN_ucode_0000514,0000514
FUN_ucode_00005a4,00005a4
FUN_ucode_00005c4,00005c4
FUN_ucode_000063c,000063c
udbgwr_xlat,0000660
jump_tmp3,00006be
uret1,00006c6
caseD_6fe,00006fe
caseD_70e,000070e
sldt_m16_xlat,0000720
FUN_ucode_0000725,0000725
FUN_ucode_000072d,000072d
sysexit_xlat,0000738
rdtscp_xlat,0000788
clear_aflags_uend0,0000794
caseD_795,0000795
FUN_ucode_000079d,000079d
caseD_7ad,00007ad
send_op_pcu_mailbox,00007b5
rc4_decrypt_ucode_second,00007c4
FUN_ucode_000080e,000080e
hlt_xlat,0000818
mov_cr0_r64_xlat,0000890
FUN_ucode_00008a4,00008a4
rsm_xlat,00008c0
rc4_decrypt_ucode_first,00008c4
vmxoff_xlat,00008c8
encls_xlat,00008d0
FUN_ucode_000097d,000097d
FUN_ucode_0000a41,0000a41
sldt_r16_xlat,0000a68
FUN_ucode_0000a95,0000a95
rdmsr_xlat,0000ae0
vmxon_xlat,0000ae8
vmptrld_xlat,0000af0
vmclear_xlat,0000af8
vmcall_xlat,0000b08
enclu_xlat,0000b10
udbgrd_xlat,0000b58
lidt_xlat,0000b90
FUN_ucode_0000b91,0000b91
str_m16_xlat,0000ba0
FUN_ucode_0000ba2,0000ba2
FUN_ucode_0000ba9,0000ba9
FUN_ucode_0000bb2,0000bb2
FUN_ucode_0000bba,0000bba
FUN_ucode_0000bbc,0000bbc
write_port_4c,0000bc9
wmptrst_xlat,0000bd0
FUN_ucode_0000bd9,0000bd9
cpuid_xlat,0000be0
pause_xlat,0000bef
sgdt_xlat,0000c10
FUN_ucode_0000c62,0000c62
mov_r64_cr8_xlat,0000c70
wrmsr_xlat,0000c80
