000: ADD_DSZ32
001: OR_DSZ32
004: AND_DSZ32
005: SUB_DSZ32
006: XOR_DSZ32
007: NOTAND_DSZ32
008: ZEROEXT_DSZ32
009: MOVE_DSZ32
00a: TESTUSTATE
00b: UPDATEUSTATE
00c: SAVEUIP
00d: SAVEUIP_REGOVR
00e: WRMSLOOPCTRFBR
014: BT_DSZ32
015: BTS_DSZ32
016: BTR_DSZ32
017: BTC_DSZ32
01e: MJMPTARGET_INDIRECT_ASZ32
021: CONCAT_DSZ32
024: SHL_DSZ32
025: SHR_DSZ32
02a: MOVSX_SSZ32_DSZ64
02c: ROL_DSZ32
02d: ROR_DSZ32
02e: SAR_DSZ32
030: SELECTCC_DSZ32_CONDO
031: SELECTCC_DSZ32_CONDNO
032: SELECTCC_DSZ32_CONDB
033: SELECTCC_DSZ32_CONDNB
034: CMOVCC_DSZ32_CONDO
035: CMOVCC_DSZ32_CONDNO
036: CMOVCC_DSZ32_CONDB
037: CMOVCC_DSZ32_CONDNB
03d: MOVEINSERTFLGS_DSZ32
040: ADD_DSZ64
041: OR_DSZ64
042: MOVETOCREG_DSZ64
043: WRITEURAM
044: AND_DSZ64
045: SUB_DSZ64
046: XOR_DSZ64
047: NOTAND_DSZ64
048: ZEROEXT_DSZ64
049: MOVE_DSZ64
04a: TESTUSTATE
04c: SAVEUIP
050: UJMPCC_DIRECT_NOTTAKEN_CONDO
051: UJMPCC_DIRECT_NOTTAKEN_CONDNO
052: UJMPCC_DIRECT_NOTTAKEN_CONDB
053: UJMPCC_DIRECT_NOTTAKEN_CONDNB
054: BT_DSZ64
055: BTS_DSZ64
056: BTR_DSZ64
057: BTC_DSZ64
058: MJMPCC_DSZNOP_CONDO
059: MJMPCC_DSZNOP_CONDNO
05a: MJMPCC_DSZNOP_CONDB
05b: MJMPCC_DSZNOP_CONDNB
05c: MJMPTARGET_INDIRECT_ASZ64
05e: MJMPTARGET_INDIRECT_ASZ64
062: MOVEFROMCREG_DSZ64
063: READURAM
064: SHL_DSZ64
065: SHR_DSZ64
06c: ROL_DSZ64
06d: ROR_DSZ64
06e: SAR_DSZ64
070: SELECTCC_DSZ64_CONDO
071: SELECTCC_DSZ64_CONDNO
072: SELECTCC_DSZ64_CONDB
073: SELECTCC_DSZ64_CONDNB
074: CMOVCC_DSZ64_CONDO
075: CMOVCC_DSZ64_CONDNO
076: CMOVCC_DSZ64_CONDB
077: CMOVCC_DSZ64_CONDNB
07d: MOVEINSERTFLGS_DSZ64
080: ADD_DSZ16
081: OR_DSZ16
084: AND_DSZ16
085: SUB_DSZ16
086: XOR_DSZ16
087: NOTAND_DSZ16
088: ZEROEXT_DSZ16
08c: SAVEUIP
094: BT_DSZ16
095: BTS_DSZ16
096: BTR_DSZ16
097: BTC_DSZ16
0a1: CONCAT_DSZ16
0a4: SHL_DSZ16
0a5: SHR_DSZ16
0a8: MOVSX_DSZ16
0a9: MOVZX_DSZ16
0ac: ROL_DSZ16
0ad: ROR_DSZ16
0ae: SAR_DSZ16
0b4: CMOVCC_DSZ16_CONDO
0b5: CMOVCC_DSZ16_CONDNO
0b6: CMOVCC_DSZ16_CONDB
0b7: CMOVCC_DSZ16_CONDNB
0c0: ADD_DSZ8
0c1: OR_DSZ8
0c4: AND_DSZ8
0c5: SUB_DSZ8
0c6: XOR_DSZ8
0c7: NOTAND_DSZ8
0c8: ZEROEXT_DSZ8
0cc: SAVEUIP
0e0: NEG_DSZ8
0e1: CONCAT_DSZ8
0e4: SHL_DSZ8
0e5: SHR_DSZ8
0e8: MOVSX_DSZ8
0e9: MOVZX_DSZ8
0ec: ROL_DSZ8
0ed: ROR_DSZ8
0ee: SAR_DSZ8
0f4: CMOVCC_DSZ8_CONDO
0f5: CMOVCC_DSZ8_CONDNO
0f6: CMOVCC_DSZ8_CONDB
0f7: CMOVCC_DSZ8_CONDNB
0f8: SETCC_CONDO
0f9: SETCC_CONDNO
0fa: SETCC_CONDB
0fb: SETCC_CONDNB
108: READUIP_REGOVR
120: SUBR_DSZ32
122: RCXBTCNTMSK_DSZ32
130: SELECTCC_DSZ32_CONDZ
131: SELECTCC_DSZ32_CONDNZ
132: SELECTCC_DSZ32_CONDBE
133: SELECTCC_DSZ32_CONDNBE
134: CMOVCC_DSZ32_CONDZ
135: CMOVCC_DSZ32_CONDNZ
136: CMOVCC_DSZ32_CONDBE
137: CMOVCC_DSZ32_CONDNBE
13e: MOVEMERGEFLGS_DSZ32
142: UFLOWCTRL
143: AETTRACE
148: URET
150: UJMPCC_DIRECT_NOTTAKEN_CONDZ
